PC1,PC2,Cluster
-2609.3047,-519.6876,0
-777.56885,193.9361,7
-2893.7532,-674.1786,0
1195.3083,693.14825,3
-2324.189,-402.1104,0
-2780.8796,-640.9396,0
-1732.6848,-664.1191,0
1503.259,2102.0552,3
-1657.7467,-195.65472,0
-612.44995,-140.66919,7
-2602.305,-540.4765,0
-1752.5544,-546.8213,0
-2747.1677,-645.7928,0
1933.2107,598.3836,3
694.61816,1323.4543,7
-2038.8292,-333.56326,0
7864.589,1706.7002,5
-2821.7224,-656.1487,0
27622.129,-1623.3118,6
-2261.8245,-466.83044,0
1532.1897,548.16705,3
4504.8477,1427.9727,3
-1694.0543,-203.60046,0
-1158.1895,-438.9873,7
-2056.1157,-738.22217,0
973.04565,608.6883,7
-2877.6907,-680.5029,0
-2413.6296,-470.67685,0
-1707.9601,-655.8794,0
4434.7812,1409.5806,3
-2459.5962,-496.02115,0
-2782.0803,-646.8668,0
-1903.673,-647.7477,0
-1614.4751,-153.43927,0
-2341.979,-791.3489,0
-1199.9838,-329.47784,7
-2896.3108,-676.7233,0
206.09912,505.36212,7
-2337.4805,-387.17123,0
-2263.184,-398.17355,0
4537.8096,1429.5161,3
-1510.8248,-120.410034,0
-2387.8633,-782.0518,0
-1378.3973,-237.034,0
2295.989,199.11566,3
504.39673,305.97662,7
-2075.6248,-374.04218,0
-1567.1747,-141.61627,0
34311.473,126.95703,6
252.06934,860.2906,7
-2434.0276,-470.6299,0
-2187.686,-659.44275,0
-107.88574,240.53497,7
972.12476,1294.6152,3
-2269.907,-773.3547,0
8758.067,-118.71161,5
-398.5625,231.19281,7
-389.4629,321.19757,7
34457.99,-2657.9297,6
-1538.5873,-156.61066,0
-2679.8516,-630.8717,0
-1864.3071,-278.1477,0
-1665.2993,-293.1139,0
-1657.4569,-164.09558,0
-1885.4326,-452.47913,0
-2607.7107,-577.1311,0
-2081.229,-346.37866,0
-2099.3872,-320.22546,0
-2024.4666,-448.70956,0
1312.7205,2171.3508,3
-1988.9243,-303.89264,0
-2243.9548,-459.23593,0
-2854.655,-652.4863,0
805.3296,1213.1797,3
-2325.0566,-762.1389,0
-2666.1892,-588.72705,0
1290.7336,600.30084,3
-632.1511,-135.5979,7
1819.3362,2995.9895,3
328.76147,270.20575,7
7.6467285,246.66302,7
-2652.17,-620.1957,0
1109.3049,721.8869,3
-2198.5273,-612.3507,0
1094.8201,1646.242,3
-306.72266,-0.73309326,7
-1539.4144,-170.72858,0
1484.1013,728.38043,3
-2598.543,-526.9972,0
1815.7024,783.4428,3
364.59473,536.4183,7
1551.2219,2232.1099,3
-1633.5193,-679.1653,0
1097.4905,1311.0303,3
-2527.0796,-501.71527,0
13958.713,1702.3706,1
-2723.976,-632.0666,0
-1445.7196,-317.29755,0
1017.4861,711.91925,3
5154.7744,1231.6543,3
2684.7888,812.0278,3
-2885.1016,-666.7523,0
691.6655,429.13312,7
-145.0481,273.59503,7
-1463.4263,-660.62994,0
-2530.8174,-505.0498,0
446.23584,-311.86157,7
8268.7705,1440.9541,5
-2519.0713,-512.523,0
-2875.899,-671.68304,0
627.79126,576.8477,7
-40.293457,412.5208,7
-974.2317,79.767395,7
-2764.594,-701.43445,0
-1805.6349,-200.3211,0
-1535.8002,-142.89081,0
-1992.646,-302.12524,0
-2787.4224,-663.11066,0
-2846.0312,-655.2344,0
16951.197,1484.293,1
-2451.2065,-509.9797,0
-1013.15625,48.898804,7
-790.3274,126.10364,7
2857.5867,949.3426,3
-2055.8865,-332.1359,0
-2021.4012,-277.90686,0
-2841.7188,-654.1152,0
-2744.5332,-617.753,0
-2775.5103,-614.52435,0
-2413.2969,-619.7328,0
648.6338,1000.1407,7
-2510.94,-482.5446,0
-1809.8754,-241.28186,0
-2159.0154,-387.7112,0
-2824.66,-655.5307,0
-1470.6735,-543.8617,0
5826.5693,1198.2427,5
-261.99805,108.61102,7
